round,name,score,score_sum,s2_round,s2_name,s2_score,s2_score_sum,s3_round,s3_name,s3_score,s3_score_sum,s3_correct_results,s3_correct_scores
24.0,jake,6.0,186.0,19.0,david,6.0,154.0,17,jack,7,149,,
24.0,james,12.0,234.0,19.0,ed,8.0,131.0,17,jake,7,152,,
24.0,jonnie,6.0,191.0,19.0,jack,11.0,160.0,17,james,6,147,,
24.0,josh,4.0,139.0,19.0,jake,4.0,157.0,17,jonnie,9,158,,
24.0,sam,15.0,196.0,19.0,james,9.0,158.0,17,josh,4,170,,
25.0,andy,4.0,194.0,19.0,jonnie,8.0,160.0,17,sam,4,124,,
25.0,david,4.0,219.0,19.0,josh,11.0,141.0,17,tom,9,136,,
25.0,jake,4.0,190.0,19.0,sam,8.0,154.0,18,andy,4,176,,
25.0,james,4.0,238.0,20.0,andy,6.0,148.0,18,david,4,141,,
25.0,jonnie,4.0,195.0,20.0,david,8.0,162.0,18,ed,9,168,,
25.0,josh,7.0,146.0,20.0,ed,13.0,144.0,18,jack,9,158,,
25.0,sam,9.0,205.0,20.0,jack,6.0,166.0,18,jake,4,156,,
26.0,andy,11.0,205.0,20.0,jake,8.0,165.0,18,james,9,156,,
26.0,david,8.0,227.0,20.0,james,6.0,164.0,18,jonnie,14,172,,
26.0,jake,8.0,198.0,20.0,jonnie,6.0,166.0,18,josh,4,174,,
26.0,james,13.0,251.0,20.0,josh,6.0,147.0,18,sam,11,135,,
26.0,jonnie,10.0,205.0,20.0,sam,8.0,162.0,18,tom,9,145,,
26.0,josh,8.0,154.0,21.0,andy,13.0,161.0,19,andy,0,176,,
26.0,sam,8.0,213.0,21.0,david,6.0,168.0,19,david,6,147,,
27.0,andy,9.0,214.0,21.0,ed,6.0,150.0,19,ed,8,176,,
27.0,david,4.0,231.0,21.0,jack,11.0,177.0,19,jack,8,166,,
27.0,jake,9.0,207.0,21.0,jake,6.0,171.0,19,jake,4,160,,
27.0,james,11.0,262.0,21.0,james,4.0,168.0,19,james,4,160,,
27.0,jonnie,13.0,218.0,21.0,jonnie,4.0,170.0,19,jonnie,6,178,,
27.0,josh,9.0,163.0,21.0,josh,4.0,151.0,19,josh,0,174,,
27.0,sam,8.0,221.0,21.0,sam,6.0,168.0,19,sam,6,141,,
28.0,andy,0.0,214.0,22.0,andy,6.0,167.0,19,tom,8,153,,
28.0,david,2.0,233.0,22.0,david,6.0,174.0,20,andy,10,186,,
28.0,jake,2.0,209.0,22.0,ed,9.0,159.0,20,david,8,155,,
28.0,james,4.0,266.0,22.0,jack,11.0,188.0,20,ed,10,186,,
28.0,jonnie,2.0,220.0,22.0,jake,11.0,182.0,20,jack,8,174,,
28.0,josh,2.0,165.0,22.0,james,14.0,182.0,20,jake,21,181,,
28.0,sam,2.0,223.0,22.0,jonnie,9.0,179.0,20,james,10,170,,
29.0,andy,7.0,221.0,22.0,josh,14.0,165.0,20,jonnie,15,193,,
29.0,david,17.0,250.0,22.0,sam,8.0,176.0,20,josh,8,182,,
29.0,jake,10.0,219.0,23.0,andy,6.0,173.0,20,sam,8,149,,
29.0,james,4.0,270.0,23.0,david,4.0,178.0,20,tom,10,163,,
29.0,jonnie,9.0,229.0,23.0,ed,2.0,161.0,21,andy,13,199,,
29.0,josh,4.0,169.0,23.0,jack,2.0,190.0,21,david,6,161,,
29.0,sam,6.0,229.0,23.0,jake,6.0,188.0,21,ed,11,197,,
30.0,andy,10.0,231.0,23.0,james,4.0,186.0,21,jack,10,184,,
30.0,david,4.0,254.0,23.0,jonnie,2.0,181.0,21,jake,8,189,,
30.0,jake,4.0,223.0,23.0,josh,7.0,172.0,21,james,6,176,,
30.0,james,6.0,276.0,23.0,sam,4.0,180.0,21,jonnie,8,201,,
