round,name,score,score_sum,,s2_round,s2_name,s2_score,s2_score_sum,,s3_round,s3_name,s3_score,s3_score_sum
41,josh,4,252,,32,jonnie,14,287,,29,james,6,233
41,sam,2,318,,32,josh,8,245,,29,jonnie,8,250
42,andy,6,318,,32,sam,11,256,,29,josh,8,250
42,david,13,348,,33,andy,8,242,,29,sam,8,216
42,jake,6,309,,33,david,10,257,,29,tom,8,221
42,james,4,350,,33,ed,8,238,,30,andy,2,242
42,jonnie,10,331,,33,jack,8,276,,30,david,7,216
42,josh,4,256,,33,jake,10,275,,30,ed,14,255
42,sam,11,329,,33,james,11,280,,30,jack,9,250
43,andy,6,324,,33,jonnie,10,297,,30,jake,14,251
43,david,13,361,,33,josh,8,253,,30,james,9,242
43,jake,13,322,,33,sam,10,266,,30,jonnie,7,257
43,james,6,356,,34,andy,8,250,,30,josh,6,256
43,jonnie,9,340,,34,david,6,263,,30,sam,12,228
43,josh,11,267,,34,ed,6,244,,30,tom,4,225
43,sam,8,337,,34,jack,6,282,,31,andy,6,248
44,andy,8,332,,34,jake,8,283,,31,david,6,222
44,david,12,373,,34,james,4,284,,31,ed,7,262
44,jake,18,340,,34,jonnie,8,305,,31,jack,10,260
44,james,11,367,,34,josh,8,261,,31,jake,9,260
44,jonnie,11,351,,34,sam,4,270,,31,james,6,248
44,josh,13,280,,35,andy,8,258,,31,jonnie,6,263
44,sam,10,347,,35,david,8,271,,31,josh,8,264
45,andy,12,344,,35,ed,6,250,,31,sam,6,234
45,david,2,375,,35,jack,9,291,,31,tom,0,225
45,jake,4,344,,35,jake,8,291,,32,andy,10,258
45,james,2,369,,35,james,16,300,,32,david,11,233
45,jonnie,2,353,,35,jonnie,11,316,,32,ed,10,272
45,josh,0,280,,35,josh,11,272,,32,jack,11,271
45,sam,4,351,,35,sam,8,278,,32,jake,14,274
46,andy,7,351,,36,andy,13,271,,32,james,6,254
46,david,8,383,,36,david,13,284,,32,jonnie,14,277
46,jake,4,348,,36,ed,13,263,,32,josh,16,280
46,james,4,373,,36,jack,10,301,,32,sam,16,250
46,jonnie,4,357,,36,jake,11,302,,32,tom,0,225
46,josh,9,289,,36,james,10,310,,33,andy,14,272
46,sam,4,355,,36,jonnie,16,332,,33,david,8,241
47,andy,10,361,,36,josh,0,272,,33,ed,11,283
47,david,16,399,,36,sam,10,288,,33,jack,14,285
47,jake,11,359,,37,andy,9,280,,33,jake,6,280
47,james,13,386,,37,david,9,293,,33,james,11,265
47,jonnie,0,357,,37,ed,4,267,,33,jonnie,6,283
47,josh,11,300,,37,jack,14,315,,33,josh,8,288
47,sam,14,369,,37,jake,4,306,,33,sam,13,263
48,andy,7,368,,37,james,14,324,,33,tom,0,225
48,david,9,408,,37,jonnie,14,346,,34,andy,8,280
48,jake,14,373,,37,josh,11,283,,34,david,11,252
48,james,7,393,,37,sam,8,296,,34,ed,11,294
48,jonnie,17,374,,38,andy,11,291,,34,jack,8,293
48,josh,4,304,,38,david,4,297,,34,jake,8,288
48,sam,6,375,,38,ed,11,278,,34,james,11,276
49,andy,6,374,,38,jack,11,326,,34,jonnie,11,294
49,david,4,412,,38,jake,14,320,,34,josh,8,296
49,jake,7,380,,38,james,11,335,,34,sam,8,271
49,james,7,400,,38,jonnie,11,357,,34,tom,2,227
49,jonnie,9,383,,38,josh,6,289,,35,andy,2,282
49,josh,4,308,,38,sam,9,305,,35,david,2,254
49,sam,6,381,,39,andy,10,301,,35,ed,2,296
50,andy,9,383,,39,david,10,307,,35,jack,9,302
50,david,0,412,,39,ed,8,286,,35,jake,4,292
50,jake,6,386,,39,jack,9,335,,35,james,4,280
50,james,4,404,,39,jake,8,328,,35,jonnie,6,300
